epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.622,1.04905,2.34696,1.36746,0.52445,0.52015,0.49836,0.33615,1.12422,1.77479,1.50707,0.000237056,0.000237056,0.000237056
2,192.563,1.02236,1.48373,1.31421,0.60687,0.55682,0.58586,0.4321,0.99312,1.44149,1.38508,0.000470353,0.000470353,0.000470353
3,277.013,1.00294,1.45229,1.30588,0.55709,0.59734,0.62862,0.4698,0.93776,1.5968,1.35969,0.000698937,0.000698937,0.000698937
4,362.345,0.96979,1.35068,1.29204,0.66892,0.6306,0.67632,0.52195,0.80928,1.41907,1.28008,0.000692794,0.000692794,0.000692794
5,448.28,0.92725,1.26654,1.26752,0.70314,0.63282,0.69876,0.50937,0.94874,1.28506,1.31946,0.000685726,0.000685726,0.000685726
6,533.923,0.9017,1.21347,1.2557,0.75547,0.66875,0.75817,0.60285,0.74637,1.1604,1.18364,0.000678657,0.000678657,0.000678657
7,619.257,0.86724,1.12278,1.23049,0.69144,0.68141,0.74454,0.59009,0.75914,1.12722,1.2093,0.000671588,0.000671588,0.000671588
8,705.58,0.83174,1.10207,1.21401,0.69612,0.7179,0.74905,0.61519,0.64218,1.10918,1.13231,0.00066452,0.00066452,0.00066452
9,791.666,0.82355,1.03635,1.20116,0.72036,0.71976,0.76657,0.627,0.65684,1.07478,1.15395,0.000657451,0.000657451,0.000657451
10,877.587,0.80549,1.00712,1.19423,0.72366,0.75377,0.79944,0.66328,0.62102,0.94966,1.10794,0.000650383,0.000650383,0.000650383
11,963.713,0.79007,0.99443,1.1876,0.74155,0.71793,0.79192,0.65956,0.67089,0.94176,1.13408,0.000643314,0.000643314,0.000643314
12,1049.03,0.76719,0.95525,1.16753,0.84092,0.70917,0.81528,0.66916,0.67925,0.91187,1.12863,0.000636245,0.000636245,0.000636245
13,1134.26,0.75568,0.92107,1.15716,0.78688,0.74078,0.83092,0.70129,0.59376,0.83209,1.07768,0.000629177,0.000629177,0.000629177
14,1219.48,0.73452,0.89437,1.14786,0.73616,0.71393,0.78609,0.6621,0.63285,0.93733,1.11926,0.000622108,0.000622108,0.000622108
15,1305.39,0.74238,0.87665,1.15262,0.76534,0.74579,0.83017,0.70599,0.58048,0.89374,1.08962,0.00061504,0.00061504,0.00061504
16,1390.92,0.72068,0.847,1.13621,0.79827,0.73611,0.82912,0.70705,0.56741,0.86432,1.07193,0.000607971,0.000607971,0.000607971
17,1477.02,0.7108,0.83709,1.13312,0.80565,0.76939,0.84983,0.72988,0.54437,0.79112,1.05602,0.000600902,0.000600902,0.000600902
18,1562.65,0.68878,0.81086,1.12294,0.7804,0.73362,0.81561,0.68928,0.61637,0.92699,1.10981,0.000593834,0.000593834,0.000593834
19,1648.35,0.69189,0.81511,1.12287,0.79298,0.7372,0.82399,0.70994,0.55984,0.8204,1.07652,0.000586765,0.000586765,0.000586765
20,1734.11,0.69408,0.79328,1.11763,0.77425,0.7715,0.82596,0.71369,0.56185,0.84518,1.08136,0.000579697,0.000579697,0.000579697
21,1819.62,0.67598,0.77201,1.11608,0.75709,0.77564,0.82249,0.70993,0.55109,0.8732,1.06025,0.000572628,0.000572628,0.000572628
22,1905.94,0.66555,0.74901,1.10293,0.77702,0.76514,0.83189,0.728,0.55183,0.81508,1.06663,0.000565559,0.000565559,0.000565559
23,1991.59,0.65691,0.73916,1.09987,0.79791,0.71382,0.8007,0.68775,0.53939,0.89751,1.05053,0.000558491,0.000558491,0.000558491
24,2077.1,0.64882,0.74019,1.10286,0.75201,0.7563,0.8062,0.70792,0.53058,0.94208,1.06058,0.000551422,0.000551422,0.000551422
25,2162.4,0.63721,0.71907,1.08704,0.7717,0.75614,0.82903,0.72571,0.54293,0.79909,1.05407,0.000544354,0.000544354,0.000544354
26,2248.2,0.64844,0.71573,1.09436,0.83487,0.71894,0.83293,0.73363,0.51995,0.83801,1.03864,0.000537285,0.000537285,0.000537285
27,2334.71,0.63747,0.70409,1.09341,0.82817,0.7502,0.84352,0.72919,0.54101,0.80439,1.04424,0.000530216,0.000530216,0.000530216
28,2420.16,0.63036,0.70068,1.0907,0.77192,0.77624,0.83392,0.73671,0.50206,0.79578,1.02786,0.000523148,0.000523148,0.000523148
29,2506.02,0.62379,0.68363,1.08047,0.79453,0.80043,0.85353,0.76018,0.48729,0.74136,1.0055,0.000516079,0.000516079,0.000516079
30,2591.95,0.6219,0.67051,1.08304,0.82873,0.75312,0.8427,0.74106,0.50474,0.78877,1.00602,0.000509011,0.000509011,0.000509011
31,2677.61,0.61688,0.65944,1.07707,0.80788,0.77809,0.84275,0.75514,0.49258,0.77539,1.01211,0.000501942,0.000501942,0.000501942
32,2763.24,0.59468,0.64468,1.06518,0.80918,0.80963,0.86544,0.77379,0.50031,0.72105,1.01669,0.000494873,0.000494873,0.000494873
33,2849.19,0.60268,0.64071,1.07113,0.80673,0.80859,0.86118,0.7682,0.48798,0.72541,1.02178,0.000487805,0.000487805,0.000487805
34,2934.72,0.59258,0.62328,1.0654,0.81008,0.78154,0.86378,0.77292,0.49309,0.74867,1.03507,0.000480736,0.000480736,0.000480736
35,3020.35,0.58626,0.62635,1.05993,0.77933,0.77697,0.84147,0.74275,0.50802,0.79924,1.05968,0.000473668,0.000473668,0.000473668
36,3106.07,0.58979,0.62048,1.06354,0.8222,0.78306,0.85389,0.76663,0.48841,0.73891,1.00453,0.000466599,0.000466599,0.000466599
37,3191.8,0.58775,0.59999,1.05897,0.81492,0.78477,0.85296,0.75355,0.4991,0.73849,1.02624,0.00045953,0.00045953,0.00045953
38,3277.57,0.57425,0.59687,1.05565,0.84095,0.82269,0.87767,0.78674,0.46343,0.70589,0.99679,0.000452462,0.000452462,0.000452462
39,3363.46,0.58084,0.59328,1.06047,0.80935,0.79465,0.8498,0.75838,0.48031,0.76714,1.00912,0.000445393,0.000445393,0.000445393
40,3449.41,0.5745,0.58545,1.05182,0.82491,0.80244,0.85103,0.75604,0.48203,0.72891,1.01698,0.000438325,0.000438325,0.000438325
41,3534.68,0.5679,0.58161,1.05026,0.85383,0.79656,0.86452,0.77329,0.47544,0.68549,1.00966,0.000431256,0.000431256,0.000431256
42,3620.15,0.57077,0.57023,1.04883,0.77575,0.82283,0.85143,0.76024,0.48719,0.75835,1.01574,0.000424187,0.000424187,0.000424187
43,3705.75,0.55822,0.55919,1.04435,0.84577,0.77337,0.86346,0.78051,0.47506,0.71236,1.01103,0.000417119,0.000417119,0.000417119
44,3791.21,0.5522,0.55789,1.04345,0.8506,0.77398,0.85691,0.76965,0.46744,0.73748,1.00763,0.00041005,0.00041005,0.00041005
45,3877.08,0.553,0.55375,1.04016,0.81546,0.77911,0.85059,0.76791,0.4739,0.72643,0.99669,0.000402982,0.000402982,0.000402982
46,3962.81,0.5416,0.52647,1.03362,0.83015,0.79372,0.85643,0.781,0.46381,0.72526,1.00927,0.000395913,0.000395913,0.000395913
47,4048.96,0.54481,0.527,1.03526,0.85288,0.79,0.8619,0.77588,0.46258,0.72818,0.99661,0.000388844,0.000388844,0.000388844
48,4134.76,0.53482,0.51539,1.03282,0.83857,0.7626,0.85935,0.77714,0.45834,0.72897,0.99617,0.000381776,0.000381776,0.000381776
49,4220.66,0.54022,0.5244,1.03262,0.84749,0.77317,0.85958,0.77967,0.46392,0.72235,0.99779,0.000374707,0.000374707,0.000374707
50,4305.96,0.53184,0.50477,1.02861,0.83703,0.77749,0.85638,0.78425,0.44757,0.71394,0.98046,0.000367639,0.000367639,0.000367639
51,4391.53,0.52733,0.51731,1.03261,0.80614,0.80622,0.86277,0.78877,0.47399,0.72268,0.99869,0.00036057,0.00036057,0.00036057
52,4476.88,0.52599,0.50232,1.02198,0.8371,0.78665,0.8703,0.78964,0.45056,0.71499,0.98874,0.000353501,0.000353501,0.000353501
53,4562.55,0.51857,0.50587,1.02058,0.80735,0.84096,0.87367,0.79545,0.44868,0.67914,0.99093,0.000346433,0.000346433,0.000346433
54,4648.39,0.51274,0.49072,1.02218,0.85892,0.7713,0.86886,0.79648,0.43855,0.69609,0.98027,0.000339364,0.000339364,0.000339364
55,4734.89,0.50451,0.48391,1.01572,0.80926,0.82519,0.8575,0.78127,0.45409,0.71499,1.00147,0.000332296,0.000332296,0.000332296
56,4820.45,0.50953,0.48228,1.01412,0.8558,0.78409,0.86488,0.78809,0.4442,0.69331,0.98961,0.000325227,0.000325227,0.000325227
57,4906.04,0.50707,0.48067,1.01485,0.85518,0.75389,0.85581,0.78304,0.44397,0.74621,0.98981,0.000318158,0.000318158,0.000318158
58,4991.7,0.50342,0.46552,1.01265,0.85038,0.77961,0.86244,0.78704,0.44831,0.6939,0.99459,0.00031109,0.00031109,0.00031109
59,5077.74,0.50019,0.46791,1.01242,0.82398,0.80314,0.84481,0.77043,0.43782,0.76219,0.98591,0.000304021,0.000304021,0.000304021
60,5163.38,0.49589,0.45678,1.01365,0.82551,0.79164,0.86351,0.788,0.44621,0.74967,0.99783,0.000296953,0.000296953,0.000296953
61,5249.42,0.49761,0.46277,1.01633,0.81196,0.82139,0.86152,0.78906,0.44261,0.70883,0.98082,0.000289884,0.000289884,0.000289884
62,5335.27,0.48818,0.45393,1.00753,0.85774,0.75867,0.84977,0.78513,0.4384,0.77128,0.9863,0.000282815,0.000282815,0.000282815
63,5420.87,0.48662,0.44163,1.00584,0.83203,0.79047,0.85272,0.77727,0.45617,0.77061,1.01099,0.000275747,0.000275747,0.000275747
64,5506.75,0.48734,0.44274,1.00574,0.82492,0.79762,0.85479,0.78261,0.44424,0.77861,0.9821,0.000268678,0.000268678,0.000268678
65,5592.23,0.48041,0.43818,1.00721,0.84493,0.76556,0.84429,0.7707,0.45129,0.83706,0.99476,0.00026161,0.00026161,0.00026161
66,5678.23,0.47286,0.42579,0.996,0.82537,0.78862,0.85398,0.77503,0.44778,0.79923,0.99498,0.000254541,0.000254541,0.000254541
67,5764.19,0.47289,0.42714,0.99782,0.80657,0.79706,0.84514,0.77541,0.43991,0.76333,0.98757,0.000247472,0.000247472,0.000247472
68,5849.65,0.46592,0.42193,0.99647,0.83882,0.78311,0.84676,0.7791,0.43974,0.77268,0.99177,0.000240404,0.000240404,0.000240404
69,5935.63,0.46685,0.41855,0.99349,0.80925,0.80233,0.84853,0.77972,0.4332,0.77013,0.97913,0.000233335,0.000233335,0.000233335
70,6022.6,0.46734,0.41369,0.99535,0.88672,0.74745,0.85287,0.77141,0.45515,0.77082,1.00649,0.000226267,0.000226267,0.000226267
71,6108.32,0.46316,0.41179,0.9925,0.82807,0.78377,0.83748,0.76939,0.43523,0.75527,0.98215,0.000219198,0.000219198,0.000219198
72,6193.98,0.45113,0.40203,0.98628,0.79269,0.81168,0.8421,0.77614,0.43507,0.77013,0.98644,0.000212129,0.000212129,0.000212129
73,6279.49,0.45621,0.40316,0.99319,0.84489,0.78159,0.85873,0.78331,0.44315,0.7523,1.00079,0.000205061,0.000205061,0.000205061
74,6365.01,0.45428,0.39934,0.98902,0.84298,0.77611,0.83737,0.76609,0.44158,0.82619,0.98978,0.000197992,0.000197992,0.000197992
75,6450.66,0.44829,0.39219,0.98697,0.86789,0.76817,0.85085,0.78336,0.43384,0.77039,0.98752,0.000190924,0.000190924,0.000190924
76,6536.48,0.44944,0.39031,0.98823,0.80745,0.83602,0.85774,0.78435,0.44245,0.73723,0.99009,0.000183855,0.000183855,0.000183855
77,6622.13,0.44593,0.3926,0.98785,0.81169,0.81019,0.84789,0.78174,0.42968,0.74897,0.97419,0.000176786,0.000176786,0.000176786
78,6707.89,0.4396,0.37845,0.98406,0.83965,0.79705,0.86196,0.80103,0.4266,0.73177,0.97618,0.000169718,0.000169718,0.000169718
79,6793.69,0.43375,0.37527,0.97975,0.85376,0.76841,0.8486,0.78466,0.42785,0.76163,0.98139,0.000162649,0.000162649,0.000162649
80,6879.48,0.43208,0.37989,0.97867,0.84611,0.77812,0.84899,0.78159,0.43671,0.79181,0.99151,0.000155581,0.000155581,0.000155581
81,6965.2,0.43251,0.37505,0.97718,0.81191,0.80664,0.85664,0.79119,0.42901,0.74639,0.98822,0.000148512,0.000148512,0.000148512
82,7050.76,0.42674,0.3734,0.97449,0.83766,0.80507,0.85777,0.78888,0.42995,0.76266,0.98474,0.000141443,0.000141443,0.000141443
83,7136,0.4254,0.3658,0.97763,0.86072,0.80004,0.85837,0.78864,0.43064,0.73951,0.98697,0.000134375,0.000134375,0.000134375
84,7221.44,0.42445,0.35738,0.97955,0.86015,0.79357,0.85437,0.79107,0.4319,0.75172,0.99209,0.000127306,0.000127306,0.000127306
85,7307.04,0.41875,0.3591,0.97096,0.8507,0.80838,0.85696,0.79178,0.41931,0.73883,0.97485,0.000120238,0.000120238,0.000120238
86,7393.38,0.41762,0.35558,0.97214,0.80573,0.82577,0.85279,0.78766,0.42589,0.79038,0.97826,0.000113169,0.000113169,0.000113169
87,7479.67,0.41739,0.35246,0.97272,0.80942,0.82916,0.85704,0.79312,0.4204,0.76571,0.97686,0.0001061,0.0001061,0.0001061
88,7565.2,0.41744,0.35131,0.97084,0.84896,0.79446,0.85946,0.79424,0.42316,0.76427,0.97928,9.90318e-05,9.90318e-05,9.90318e-05
89,7650.27,0.41188,0.34873,0.97248,0.85468,0.80076,0.86184,0.79851,0.41525,0.75216,0.97333,9.19632e-05,9.19632e-05,9.19632e-05
90,7736.02,0.4052,0.34238,0.96445,0.83838,0.81907,0.8589,0.7968,0.41572,0.78921,0.9668,8.48946e-05,8.48946e-05,8.48946e-05
91,7825.72,0.34879,0.24259,0.92218,0.83604,0.7789,0.84832,0.78335,0.43121,0.7828,0.98339,7.7826e-05,7.7826e-05,7.7826e-05
92,7910.52,0.33091,0.224,0.90927,0.84772,0.8046,0.84859,0.78467,0.42598,0.76731,0.9762,7.07574e-05,7.07574e-05,7.07574e-05
93,7995.47,0.32214,0.21299,0.90356,0.86969,0.769,0.84773,0.78499,0.42279,0.76111,0.96786,6.36888e-05,6.36888e-05,6.36888e-05
94,8080.63,0.32307,0.21379,0.90375,0.83726,0.79873,0.85094,0.7863,0.42113,0.76016,0.96798,5.66202e-05,5.66202e-05,5.66202e-05
95,8165.88,0.31576,0.20603,0.89569,0.85078,0.77968,0.84563,0.78198,0.42591,0.7715,0.98158,4.95516e-05,4.95516e-05,4.95516e-05
96,8251.29,0.30861,0.20276,0.89666,0.84985,0.80162,0.8451,0.78198,0.42366,0.79911,0.9899,4.2483e-05,4.2483e-05,4.2483e-05
97,8336.54,0.30895,0.20668,0.89892,0.83108,0.7914,0.84772,0.78689,0.41415,0.77467,0.97884,3.54144e-05,3.54144e-05,3.54144e-05
98,8421.87,0.30152,0.19939,0.89504,0.83253,0.79298,0.85032,0.79059,0.41726,0.77601,0.98371,2.83458e-05,2.83458e-05,2.83458e-05
99,8506.87,0.3078,0.20229,0.89794,0.79634,0.82394,0.84932,0.79009,0.41526,0.77569,0.97781,2.12772e-05,2.12772e-05,2.12772e-05
100,8593.33,0.30563,0.20151,0.89649,0.83338,0.7894,0.8481,0.78808,0.41885,0.78202,0.98259,1.42086e-05,1.42086e-05,1.42086e-05
